lat;long
191,7773438;65,94647178
189,7558594;66,47820814
187,9980469;67,03316279
185,8886719;67,30597574
185,625;66,79190947
185,4492188;67,50856836
183,4277344;68,36680109
179,5605469;69,47296854
176,7480469;69,93030018
173,7597656;70,08056216
170,5957031;70,28911664
169,3652344;70,17020069
167,6074219;70,17020069
166,5527344;69,7181067
165,234375;69,7181067
163,9160156;69,86989157
161,9824219;69,8093087
160,9277344;70,11048478
159,1699219;70,95969717
157,5;71,21607527
153,8964844;71,21607527
151,7871094;72,07391149
146,3378906;72,8679305
143,2617188;73,04823634
141,0644531;73,04823634
138,515625;72,36910451
137,0214844;71,99257805
135,0878906;71,69129272
133,3300781;71,91088788
131,8359375;72,12793628
131,7480469;71,52490904
131,1328125;71,10254274
130,2539063;71,15939142
130,2539063;72,52812973
130,1660156;73,04823634
128,8476563;73,65254484
126,1230469;73,99532834
124,0136719;74,0437226
122,9589844;73,60299628
121,9921875;73,2773532
119,4433594;73,3026242
119,0917969;73,75120539
115,7519531;73,97107764
114,1699219;74,33110825
113,4667969;74,84492868
115,0488281;75,34228194
114,8730469;76,07966773
113,4667969;76,74039725
109,2480469;77,19617636
106,3476563;77,95241385
103,7988281;77,84184775
101,3378906;77,46602848
99,31640625;77,19617636
96,06445313;77,40867811
94,30664063;76,6797849
88,33007813;75,62863223
84,7265625;74,75274619
81,9140625;74,14008387
78,13476563;73,67726448
76,20117188;73,62778879
74,35546875;73,42842364
73,65234375;72,99690915
74,35546875;72,31578531
73,38867188;72,23551373
72,421875;73,52839949
70,6640625;73,7265947
69,08203125;73,42842364
68,64257812;72,50172235
67,5;71,74643172
66,26953125;71,13098771
66,35742188;70,37785394
66,18164063;69,83962194
67,32421875;69,25614923
68,46679688;68,52823492
66,35742188;69,28725695
63,36914063;69,7181067
59,94140625;70,40734768
57,83203125;70,87349132
56,51367187;71,63599288
56,51367187;72,65958847
57,74414063;73,52839949
58,88671875;74,16408547
60,73242188;74,86788913
62,49023437;75,34228194
65,12695313;75,73730279
68,203125;76,16399262
69,16992188;76,47577254
69,16992188;76,88077457
67,93945313;77,0787839
65,91796875;76,94048839
63,36914063;76,55774294
59,58984375;76,20596704
56,07421875;75,45307133
54,75585938;74,70644988
53,61328125;74,01954331
51,76757813;73,2773532
50,88867187;71,85622888
51,94335938;71,18775392
53,61328125;70,55417854
56,68945313;70,31873848
58,09570313;70,05059635
59,32617187;69,41124236
58,27148437;69,16255791
57,21679688;69,16255791
54,88769531;68,863517
54,18457031;69,2094039
52,64648437;69,09993967
50,09765625;68,41535221
49,48242188;68,20421219
47,85644531;67,79264084
47,54882813;67,47492238
46,84570313;67,05030412
45,83496094;67,22105297
45,65917969;67,65938637
47,109375;67,72610819
46,71386719;68,3505943
44,51660156;68,92681149
42,67089844;68,70448629
43,90136719;68,22052326
43,46191406;67,49175133
42,23144531;66,9644763
41,96777344;66,56574651
40,47363281;66,1427427
39,33105469;65,60387766
39,33105469;64,86760782
36,95800781;65,33017792
35,37597656;65,47650756
35,28808594;66,24916311
38,10058594;65,89268029
41,04492188;66,4606635
41,79199219;67,08455049
41,17675781;67,89208614
38,45214844;68,72044057
32,32177734;70,09552886
31,90429687;69,93783902
30,89355469;69,58056349
29,33349609;69,06856319
28,54248047;68,5523508
30,12451172;67,67608458
29,15771484;66,99884379
30,12451172;65,70351821
30,5859375;64,10100653
30,01464844;63,76306519
31,59667969;62,94523066
30,82763672;62,19626462
27,86132813;60,55457868
28,14697266;59,41154817
27,81738281;57,86813176
28,14697266;56,17002298
30,95947266;55,61558903
32,84912109;53,46189043
31,50878906;53,23892064
31,94824219;52,11999866
33,77197266;52,41582261
34,47509766;51,7814356
35,39794922;51,3168805
35,41992188;51,0413939
35,48583984;50,58323661
37,55126953;50,48547355
40,49560547;49,6391772
40,12207031;48,86471476
39,77050781;47,87214397
38,75976563;47,72454455
38,34228516;47,57652571
38,27636719;47,30903425
38,10058594;47,01022566
36,60644531;45,61403741
35,81542969;43,26120612
30,11352539;45,10454631
29,75097656;44,6217541
29,19067383;44,5278428
28,85009766;43,6917079
28,57543945;43,22118973
28,14697266;42,74701217
28,24584961;42,02481361
27,7734375;42,09822241
26,19140625;41,64007838
25,3125;40,04443758
26,71875;36,73888412
30,234375;33,13755119
43,76953125;12,03932056
46,0546875;12,38292834
51,6796875;14,60484716
56,6015625;16,80454108
60,46875;20,96143961
59,58984375;24,52713482
61,875;24,046464
66,09375;23,72501174
68,90625;20,30341752
72,0703125;16,13026201
74,1796875;9,275622177
78,75;4,390228926
83,49609375;4,915832801
83,84765625;7,885147283
81,03515625;13,41099403
85,25390625;17,81145609
88,76953125;20,46818922
92,109375;20,13847031
92,63671875;16,80454108
92,109375;7,188100871
95,09765625;1,933226826
99,66796875;-5,441022304
108,8085938;-9,795677583
123,046875;-12,21118019
127,7929688;-10,14193169
130,078125;-6,489983333
131,1328125;1,406108835
128,4960938;8,928487063
123,9257813;15,79225357
129,375;25,48295118
132,7148438;30,75127778
138,3398438;32,99023556
142,3828125;36,73888412
145,7226563;41,90227704
150,9960938;44,46515101
156,2695313;48,80686346
159,7851562;51,72702816
162,2460938;54,26522408
164,0039063;56,26776109
165,7617188;58,72259883
168,5742188;59,534318
171,9140625;59,8889369
176,3085938;61,8561488
179,4726563;61,8561488
180,1757813;62,83508901
179,8242188;64,39693778
182,6367188;64,84893726
187,2070313;63,54855223
188,2617188;64,39693778
189,4921875;65,2934678
191,7773438;65,94647178
